0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista                        1048      12º andar BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    16112011                                                                                                                                                                                                                                                                                                                                                                                                000001
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     009108537000144RIACHO PESCADOS - COMERCIO DE ALIM      A ADE QD 600 CONJ 06 S/N LOTE 3         BRASILIA                                72640006DF3188200004084816112016 D      21102011009BRASILIA            0212201100000000002284000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-32     000046
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     009108537000144RIACHO PESCADOS - COMERCIO DE ALIM      A ADE QD 600 CONJ 06 S/N LOTE 3         BRASILIA                                72640006DF3188200005084816202016 E      21102011009BRASILIA            0912201100000000002284000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-33     000047
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300001084923111237 A      31102011800UNIBANCO S/A        2811201100000000000122400CC                                                                                                                                                                                                                                                                                                                                                                                           151597-34     000048
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300002084923542053 D      31102011800UNIBANCO S/A        1912201100000000002866000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-35     000049
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300003084923622053 C      31102011800UNIBANCO S/A        1212201100000000002866000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-36     000050
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300004084923712053 B      31102011800UNIBANCO S/A        0512201100000000002866000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-37     000051
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300005084923892053 A      31102011800UNIBANCO S/A        2811201100000000002866000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-38     000052
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300006084923971237 D      31102011800UNIBANCO S/A        1912201100000000000122400CC                                                                                                                                                                                                                                                                                                                                                                                           151597-39     000053
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300007084924011237 C      31102011800UNIBANCO S/A        1212201100000000000122400CC                                                                                                                                                                                                                                                                                                                                                                                           151597-40     000054
1008421005590COBR_CAUC_COR  MM MONTEIRO PESCA E EXPORTACAO LTDA     010895089000155A Z COMERCIO DE CONGELADOS LTDA         RUA NIKITA KHRUSCHEV,34                 MANAUS                                  69054729AM3188300008084924191237 B      31102011800UNIBANCO S/A        0512201100000000000122400CC                                                                                                                                                                                                                                                                                                                                                                                           151597-41     000055
9000054                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000056
